Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,462,958
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1265,2722
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1439,2207
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3446,5594
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3195,4693
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7596,8700
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,5151,5543
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8998,8998
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1441,1767
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3788,4641
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2377,2943
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6343,6353
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,5184,5698
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,5803,6034
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4238,4726
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8450,9050
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,765,1274
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2698,3578
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1284,1679
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3683,4638
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2320,2932
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6754,7019
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4320,5006
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8869,8869
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3063,4112
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8440,8967
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1986,2749
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5747,7010
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,960,1303
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2912,3412
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,1424,2054
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),3654,4525
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1056,2063
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4144,5280
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,39,89
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),319,394
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,120,169
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),417,587
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,237,422
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),966,1549
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,428,510
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1595,1837
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1362,1957
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4393,5132
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,190,640
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1854,2151
