Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,5423,7771
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4696,8121
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),7118,7928
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,6520,9656
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),10281,10281
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3805,7532
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),5936,7556
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7544,8179
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),6596,6596
"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1144,2402
"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2564,4416
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,609,1562
"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1036,3003
"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1023,1695
"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),836,836
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","B.Tech in Mechanical Engineering and M.Tech in AI and Robotics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,SC,Gender-Neutral,6697,8025
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,5458,6619
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),8319,8319
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","B.Tech. in Electronics and Communication Engineering and M.Tech. in VLSI Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,5224,6008
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2162,4366
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3179,5547
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,3794,5281
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),5681,6597
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4092,4700
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),5862,5862
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4952,6140
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4928,6911
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,6455,8018
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),9024,10505
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8144,9063
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),9853,9853
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,863,3905
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3656,5201
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3737,4945
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),5425,7356
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,5818,7511
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),5674,9237
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7825,9556
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),11116,11422
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,9487,10707
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),10674,11636
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Computer Science and Engineering with specialization in Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,9058,10255
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,10383,11358
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),10921,12681
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,"Electronics and Communication Engineering with specialization in VLSI and Embedded Systems (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,9682,11176
Indian Institute of Information Technology Tiruchirappalli,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1360,5985
Indian Institute of Information Technology Tiruchirappalli,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),6241,8427
Indian Institute of Information Technology Tiruchirappalli,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,5644,7890
Indian Institute of Information Technology Tiruchirappalli,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),8674,9822
Indian Institute of Information Technology Lucknow,"Computer Science (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2211,3139
