Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1590,1854
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3230,3230
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,2113,2174
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3969,3969
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,671,679
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1517,1517
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,969,1093
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2281,2281
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,2124,2215
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),4493,4493
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",EWS,Gender-Neutral,2353,2487
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),4093,4093
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1796,1953
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3738,3738
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,330,489
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),825,1058
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,529,595
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1401,1401
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,855,1188
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2285,2285
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1885,1958
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3601,3601
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1470,1676
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3723,3723
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,961,1040
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2000,2341
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,283,474
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1308,1358
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,494,594
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),2232,2232
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,580,778
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1688,1972
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,24,35
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),108,145
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,40,54
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),238,238
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,118,156
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),478,554
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,162,214
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),700,700
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,503,565
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1137,1137
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,260,307
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1000,1000
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,600,715
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2137,2137
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,598,928
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2233,2233
